#"arc_length" "flux" "flux"
192.991 2.59813e+13 4.17478e+13
193.315 2.62626e+13 4.20138e+13
193.64 2.65431e+13 4.22772e+13
193.965 2.68227e+13 4.2538e+13
194.29 2.71015e+13 4.27964e+13
194.615 2.73796e+13 4.30524e+13
194.94 2.76568e+13 4.3306e+13
195.265 2.79334e+13 4.35574e+13
195.59 2.82092e+13 4.38066e+13
195.915 2.84843e+13 4.40537e+13
196.24 2.87588e+13 4.42987e+13
196.564 2.90326e+13 4.45417e+13
196.889 2.94234e+13 4.47781e+13
197.214 2.98575e+13 4.50144e+13
197.539 3.0293e+13 4.52529e+13
197.864 3.07302e+13 4.54936e+13
198.189 3.11689e+13 4.57367e+13
198.514 3.16093e+13 4.59821e+13
198.839 3.20513e+13 4.623e+13
199.164 3.24952e+13 4.64804e+13
199.489 3.29408e+13 4.67335e+13
199.813 3.33883e+13 4.69892e+13
200.138 3.38377e+13 4.72477e+13
200.463 3.42891e+13 4.75091e+13
200.788 3.47425e+13 4.77734e+13
201.113 3.5198e+13 4.80408e+13
201.438 3.56558e+13 4.83114e+13
201.763 3.61157e+13 4.85852e+13
202.088 3.6578e+13 4.88624e+13
202.413 3.70428e+13 4.91431e+13
202.738 3.751e+13 4.94274e+13
203.062 3.79798e+13 4.97154e+13
203.387 3.84523e+13 5.00073e+13
203.712 3.89275e+13 5.03032e+13
204.037 3.94056e+13 5.06033e+13
204.362 3.98867e+13 5.09077e+13
204.687 4.03709e+13 5.12166e+13
205.012 4.08583e+13 5.15301e+13
205.337 4.1445e+13 5.18645e+13
205.662 4.21537e+13 5.22187e+13
205.987 4.28472e+13 5.25678e+13
206.311 4.35261e+13 5.29119e+13
206.636 4.41908e+13 5.32511e+13
206.961 4.4842e+13 5.35858e+13
207.286 4.548e+13 5.39159e+13
207.611 4.61053e+13 5.42418e+13
207.936 4.67185e+13 5.45634e+13
208.261 4.73198e+13 5.48811e+13
208.586 4.79096e+13 5.51948e+13
208.911 4.84885e+13 5.55048e+13
209.236 4.90566e+13 5.58112e+13
209.561 4.96144e+13 5.6114e+13
209.885 5.01623e+13 5.64134e+13
210.21 5.07004e+13 5.67096e+13
